#{"t_start": 1776070569.1192172, "env_id": "highway-v0"}
r,l,t
1.912417,3,5495.992601
20.539885,30,5505.363769
20.858209,30,5514.769775
20.573864,30,5524.14039
20.653391,30,5533.640149
20.454545,30,5543.097499
20.454545,30,5552.450527
21.486586,30,5561.84796
11.909073,18,5567.477712
20.454545,30,5576.888163
20.454545,30,5586.309968
20.454545,30,5595.688016
20.53988,30,5605.066123
20.690946,30,5614.432647
20.858209,30,5623.779432
20.573864,30,5633.24193
20.545688,30,5642.609489
20.653391,30,5652.051693
20.971573,30,5661.416626
20.454545,30,5670.802304
20.65698,30,5680.145272
20.454545,30,5689.451919
10.909091,17,5694.714407
20.711373,30,5704.025429
20.744537,30,5713.338622
20.653391,30,5722.725511
3.999409,6,5724.63752
20.693182,30,5733.940936
20.659198,30,5743.247263
20.82188,30,5752.707993
20.454545,30,5762.805182
20.776281,30,5772.127377
20.625356,30,5781.433734
20.454545,30,5790.726737
20.744537,30,5800.129663
19.090909,29,5809.188472
20.659198,30,5818.557802
20.454545,30,5827.89119
20.53988,30,5837.198475
20.454545,30,5846.668251
20.454545,30,5855.95738
20.454545,30,5865.359488
20.454545,30,5874.699647
20.625215,30,5884.022988
21.721709,30,5893.371702
20.454545,30,5902.716738
20.454545,30,5912.137205
21.083928,30,5921.555002
20.454545,30,5930.890938
20.454545,30,5940.23354
20.53988,30,5949.570691
20.454545,30,5958.84356
20.454545,30,5968.156562
20.53988,30,5977.616002
21.285368,30,5986.896474
8.3865,13,5990.924094
20.571645,30,6000.202369
20.971573,30,6009.575368
20.571645,30,6018.990323
20.63003,30,6028.349623
20.693182,30,6037.69565
20.850022,30,6046.997221
20.454545,30,6056.348368
20.540873,30,6065.630035
20.736512,30,6074.968622
20.776281,30,6084.301396
20.454545,30,6093.598088
20.766882,30,6103.032279
20.971574,30,6112.386483
20.573864,30,6121.687475
20.454545,30,6131.092714
6.255682,10,6134.209238
3.60592,6,6136.093538
20.778521,30,6145.487782
20.53988,30,6154.89204
20.454545,30,6164.288758
20.771717,30,6173.652618
5.454545,9,6176.489012
20.824883,30,6185.906595
20.625215,30,6195.290444
20.53988,30,6204.581337
20.771717,30,6213.975661
20.573864,30,6223.293913
20.653391,30,6232.604527
20.53988,30,6241.886082
21.063538,30,6251.368298
6.818182,11,6254.841485
20.454545,30,6264.181029
20.573864,30,6273.551442
20.653368,30,6282.958282
20.454545,30,6292.276247
20.454545,30,6301.524233
4.289789,7,6303.69496
20.454545,30,6313.078037
20.454545,30,6322.421687
20.454545,30,6331.803202
20.454545,30,6341.098614
20.857033,30,6350.527041
20.771717,30,6359.940394
20.454545,30,6369.286864
20.454545,30,6378.584997
20.454545,30,6388.043469
20.625361,30,6397.437788
20.539857,30,6407.525069
20.659198,30,6416.877865
20.53988,30,6426.199294
20.769485,30,6435.572255
20.573864,30,6444.816074
2.403409,4,6446.056867
20.738731,30,6455.557525
20.454545,30,6464.890662
20.540873,30,6474.250941
13.039857,20,6480.486696
20.454545,30,6489.840494
20.454545,30,6499.199917
20.454545,30,6508.529373
4.772727,8,6511.048157
20.454545,30,6520.428279
20.738726,30,6529.733475
16.645603,25,6537.553527
20.454545,30,6546.975945
20.573864,30,6556.236175
20.454545,30,6565.540908
20.65698,30,6574.92568
20.53988,30,6584.391802
20.454545,30,6593.774868
20.653425,30,6603.101557
21.050085,30,6612.514537
20.625219,30,6621.829807
20.539885,30,6631.104786
20.539881,30,6640.463731
20.858044,30,6649.837104
20.573864,30,6659.27831
20.573864,30,6668.759365
20.454545,30,6678.103119
20.454545,30,6687.429357
20.540849,30,6696.837201
20.573864,30,6706.156562
20.53988,30,6715.458508
20.454545,30,6724.838524
20.970795,30,6734.240739
20.454545,30,6743.604395
20.454545,30,6752.965401
8.863636,14,6757.325417
20.454545,30,6766.666861
20.659176,30,6776.016698
21.034376,30,6785.502563
2.727273,5,6787.097245
20.454545,30,6796.413857
20.454545,30,6805.660428
20.454545,30,6815.085723
20.653391,30,6824.4322
20.539885,30,6833.741176
20.454545,30,6843.130554
20.53988,30,6852.52489
1.198555,2,6853.157339
20.454545,30,6862.645229
20.625192,30,6871.963668
20.968545,30,6881.397375
21.095706,30,6890.735208
20.539862,30,6900.068148
20.659198,30,6909.349103
20.625356,30,6918.687943
20.454545,30,6928.009424
20.53988,30,6937.280214
20.454545,30,6946.60787
20.454545,30,6955.959176
20.573864,30,6965.331893
20.454545,30,6974.622439
20.65698,30,6983.959863
20.625219,30,6993.348746
20.454545,30,7002.677765
20.625215,30,7012.038678
20.778517,30,7021.413003
20.545688,30,7030.758575
20.540873,30,7040.008169
20.651176,30,7050.079113
20.625215,30,7059.469761
20.65698,30,7068.84172
20.454545,30,7078.186873
20.53988,30,7087.537665
20.53988,30,7096.949214
20.454545,30,7106.297342
20.890011,30,7115.674046
20.53988,30,7125.019223
20.454545,30,7134.379708
20.454545,30,7143.790108
20.454545,30,7153.178178
20.454545,30,7162.504464
20.454545,30,7172.013682
20.653391,30,7181.454631
8.267153,13,7185.538393
20.454545,30,7194.955711
20.625215,30,7204.414898
20.454545,30,7213.734769
20.53988,30,7223.093153
21.280148,30,7232.451671
20.835675,30,7241.7881
20.454545,30,7251.082636
21.214841,30,7260.484715
20.454545,30,7269.834958
20.53988,30,7279.23335
20.53988,30,7288.591422
20.454545,30,7298.049315
20.539885,30,7307.405003
20.771717,30,7316.840951
20.53988,30,7326.163477
20.53988,30,7335.529629
20.454545,30,7344.85909
20.454545,30,7354.164682
20.454545,30,7363.40706
20.886201,30,7372.76806
20.539881,30,7382.020266
13.636364,21,7388.554691
20.454545,30,7397.894441
20.65698,30,7407.186974
20.454545,30,7416.592262
20.653391,30,7426.093785
