time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss
81,165888,29.51,51836,20.16109152,3,10.035253039246891,-0.6378411190584302,0.0003,800,0.2,0.109521484375,0.08147427439689636,0.010788411,0.02637404203414917,-0.002267954200215172
82,167936,29.71,52476,20.29585167,3,19.04329811942298,-0.6058598658069968,0.0003,810,0.2,0.038623046875,52.76067352294922,0.0041527776,0.02795940637588501,-0.0026769317089929247
83,169984,29.58,53117,20.2018351,3,17.421395137277432,-0.6505583465099335,0.0003,820,0.2,0.051171875,0.32670363783836365,0.0069735507,0.01024848222732544,-0.0009896009378280723
84,172032,29.13,53756,19.888317,3,24.69446119518252,-0.6455241214483977,0.0003,830,0.2,0.0478515625,16.566741943359375,0.003979548,0.03209352493286133,-0.001712646170926746
85,174080,29.18,54397,19.90433469,3,24.385411014570856,-0.6209138492122293,0.0003,840,0.2,0.102001953125,0.5940089225769043,0.013513511,0.05757099390029907,-0.0012435924363671802
86,176128,29.88,55038,20.39589139,3,23.3757529176306,-0.5821014682762324,0.0003,850,0.2,0.039208984375,0.7935449481010437,0.007031736,0.06961333751678467,-0.0022412586040445603
87,178176,30.0,55679,20.477969859999998,3,12.787051954865456,-0.5837848206982017,0.0003,860,0.2,0.132177734375,0.12939652800559998,0.008322593,0.2008305788040161,-0.0019788391371548643
88,180224,29.49,56319,20.10375185,3,0.44591750963591037,-0.5948526362888515,0.0003,870,0.2,0.031103515625,0.08940640091896057,0.0054406133,0.4531064033508301,-0.0012202345882542432
89,182272,29.45,56959,20.07646211,3,35.60603947816416,-0.6452387478202581,0.0003,880,0.2,0.01220703125,14.791318893432617,0.0006027505,0.08586710691452026,0.00041614369620219805
90,184320,29.62,57600,20.205252910000002,3,15.779541043099016,-0.5410268719308078,0.0003,890,0.2,0.023876953125,17.063932418823242,0.0025408545,0.13664603233337402,-0.0009653821700339904
91,186368,29.9,58242,20.39647541,3,21.147089587617664,-0.5476290974766016,0.0003,900,0.2,0.01162109375,0.9569030404090881,0.002568929,0.1770780086517334,-0.00024092763487715274
92,188416,29.33,58882,19.98601442,3,24.0728482298553,-0.5930223315954208,0.0003,910,0.2,0.01123046875,4.425139904022217,0.0045388294,0.13629621267318726,-0.0018284613119249117
93,190464,29.12,59523,19.83688993,3,30.982997900992633,-0.6021983986720443,0.0003,920,0.2,0.01396484375,32.35436248779297,0.0010526499,0.23354119062423706,-0.0008204008103348315
94,192512,29.57,60163,20.18150912,3,26.872263503447176,-0.6273951787501574,0.0003,930,0.2,0.00439453125,8.458943367004395,0.00221251,0.23112070560455322,-0.0005972538448986598
95,194560,29.57,60804,20.170685709999997,3,24.409355667978524,-0.5789737436920405,0.0003,940,0.2,0.015673828125,38.221038818359375,0.0018818253,0.612546294927597,-0.0021291148999807775
96,196608,29.87,61445,20.39547245,3,4.529051428474486,-0.6410713700577617,0.0003,950,0.2,0.033984375,1.071040153503418,0.006945543,0.7932001054286957,-0.0028648641586187296
97,198656,29.7,62085,20.26563092,3,15.91412403434515,-0.6269433114677667,0.0003,960,0.2,0.0052734375,2.3092188835144043,0.0010955146,0.5219784080982208,-0.000932352856034413
98,200704,29.81,62726,20.357839660000003,3,18.565462360717355,-0.7108418498188257,0.0003,970,0.2,0.00859375,5.073302745819092,0.0010186003,0.3091002106666565,-0.0005519412967259996
99,202752,29.94,63366,20.44532274,3,2.0013100928626955,-0.6077110206708312,0.0003,980,0.2,0.06376953125,0.42178985476493835,0.01173159,-0.4307345151901245,-0.0030930520471883936
100,204800,29.55,64006,20.17944946,3,19.323867694847287,-0.6598799100145698,0.0003,990,0.2,0.043359375,14.090659141540527,0.0071519557,0.1994442343711853,-0.0012577447116200347
101,206848,29.46,64647,20.10260161,3,23.03328734152019,-0.588760082796216,0.0003,1000,0.2,0.051318359375,1.9057649374008179,0.00484401,0.3645004630088806,-0.0016156385754584335
102,208896,29.71,65288,20.28280328,3,29.850180940143765,-0.59878154322505,0.0003,1010,0.2,0.101611328125,11.08324909210205,0.00924863,0.22415977716445923,-0.0029054396360152167
103,210944,29.84,65926,20.372765019999996,3,11.600641180947424,-0.6254043947905302,0.0003,1020,0.2,0.075,0.1406792402267456,0.0036234704,0.1582137942314148,3.808446563198231e-05
104,212992,29.8,66566,20.34581011,3,14.402098627807572,-0.5375962788239121,0.0003,1030,0.2,0.082568359375,0.09231302887201309,0.014594449,0.16896194219589233,-0.0017876767997222487
105,215040,29.32,67206,19.99656814,3,11.822400066244882,-0.6277650472708046,0.0003,1040,0.2,0.049853515625,0.14970716834068298,0.0028833423,0.2697610855102539,-0.0005424830269475933
106,217088,28.87,67847,19.67007197,3,29.368885015510024,-0.5857931710779667,0.0003,1050,0.2,0.014990234375,1.6685723066329956,0.001566503,0.13395839929580688,-0.0013321642436494585
107,219136,29.56,68487,20.17140006,3,34.09535382948816,-0.5863334400579333,0.0003,1060,0.2,0.009912109375,29.803056716918945,0.0034420486,0.2934504747390747,-0.0014658310105005513
108,221184,29.69,69128,20.254468829999997,3,4.397995625250042,-0.5283240060321986,0.0003,1070,0.2,0.019677734375,0.7444500923156738,0.0016392146,0.8317599445581436,-0.0024036296650592703
109,223232,29.74,69768,20.298208709999997,3,20.121393891517073,-0.6451813193038106,0.0003,1080,0.2,0.0736328125,1.7455527782440186,0.0070201284,0.17560601234436035,-0.0017689040992991067
110,225280,29.76,70408,20.32971839,3,1.021077285381034,-0.5233095587231219,0.0003,1090,0.2,0.04912109375,0.502757728099823,0.0049149804,0.404590904712677,-0.0016384712638682687
111,227328,29.84,71049,20.36884171,3,8.98818102912046,-0.5807242267765105,0.0003,1100,0.2,0.094921875,0.18996934592723846,0.004624894,0.30387359857559204,-0.004049840984225739
112,229376,29.61,71689,20.1916387,3,13.35615120565053,-0.498302704282105,0.0003,1110,0.2,0.0451171875,5.849323749542236,0.004507301,0.21656441688537598,-0.002787197387078777
