rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/entropy_loss
29.25,19.93082675,47,31342,96256,3,0.24912923574447632,0.2,0.894425630569458,0.00977954,0.072900390625,16.83987664808519,460,0.0003,-0.001221539363177726,-0.46481128288432955
29.37,20.02416658,48,32009,98304,3,0.08742868900299072,0.2,29.97601318359375,0.0020232499,0.032470703125,43.1352593742311,470,0.0003,-0.002051062777536572,-0.47370155388489366
29.45,20.08666626,49,32675,100352,3,0.22899514436721802,0.2,8.777090072631836,0.0043616123,0.02607421875,26.0185656234622,480,0.0003,-0.0011109827537438832,-0.5053408856503665
29.2,19.89217224,50,33341,102400,3,0.30486470460891724,0.2,4.347044944763184,0.0043591224,0.046630859375,20.278910096082836,490,0.0003,-0.0005330572988896165,-0.4688849564641714
29.18,19.87736487,51,34008,104448,3,0.1094292402267456,0.2,1.1971317529678345,0.001800921,0.0439453125,28.722440566308798,500,0.0003,-0.0008043670877668774,-0.41004778230562805
29.44,20.06248279,52,34674,106496,3,0.129039466381073,0.2,53.00437927246094,0.004886323,0.041845703125,19.107051828829572,510,0.0003,-0.0006826834767707623,-0.4553876991383731
29.29,19.966783739999997,53,35341,108544,3,0.013404905796051025,0.2,0.3346880376338959,0.011777725,0.0697265625,17.342685226816684,520,0.0003,-0.0007261691964231432,-0.46756570087745786
29.35,20.01607455,54,36007,110592,3,0.02931755781173706,0.2,8.974275588989258,0.002387852,0.054638671875,38.585012461151926,530,0.0003,-0.0010784233832964673,-0.5418129862286151
29.94,20.436113950000003,55,36673,112640,3,0.03112548589706421,0.2,6.364868640899658,0.0011682578,0.0103515625,31.94806760288775,540,0.0003,-0.0008396441799050081,-0.4876151880249381
29.78,20.32717839,56,37339,114688,3,0.1869204044342041,0.2,0.7557322382926941,0.008291846,0.06455078125,1.4746802350506187,550,0.0003,-0.00456031450885348,-0.4600687623023987
29.78,20.33249073,57,38006,116736,3,0.09630072116851807,0.2,0.15418386459350586,0.0074261203,0.056640625,11.694123482052238,560,0.0003,-0.0022115517887868917,-0.43003295054659246
29.73,20.29800814,58,38671,118784,3,0.30991464853286743,0.2,0.02686801552772522,0.014461496,0.092041015625,0.1409182915755082,570,0.0003,-0.00464600093109766,-0.518124048691243
29.39,20.03191364,59,39337,120832,3,0.0723569393157959,0.2,0.042950622737407684,0.007479149,0.052294921875,5.8794973062584175,580,0.0003,-0.0035037453169934453,-0.5042151532135903
30.0,20.45897792,60,40003,122880,3,0.027189970016479492,0.2,19.620168685913086,0.0023775522,0.014599609375,35.80238931691274,590,0.0003,-0.000266708940762328,-0.46424675453454256
