#{"t_start": 1776079954.582204, "env_id": "highway-v0"}
r,l,t
3.959047,5,12460.226425
4.959018,6,12467.883788
12.002255,14,12485.470765
8.760149,10,12498.198044
13.602545,18,12520.896264
12.354909,14,12538.471524
6.563946,9,12549.860244
4.199646,6,12557.477903
4.955582,6,12565.183661
5.006779,7,12574.05924
7.554588,9,12585.533189
19.077695,21,12612.115157
7.794132,9,12623.482357
19.950036,21,12650.245
4.964747,7,12659.164503
4.601317,7,12668.081195
3.197675,4,12673.242873
18.805467,21,12699.586499
21.597989,25,12731.105318
7.410692,11,12744.997624
1.985884,3,12748.802523
4.366203,6,12756.37077
17.753311,20,12781.659956
10.75476,13,12798.114091
10.467405,13,12814.528977
5.593863,8,12824.654933
12.348818,14,12842.427593
5.959013,7,12851.386137
24.753322,27,12885.507392
5.758304,7,12894.373454
9.420624,13,12910.743597
5.760155,7,12919.73123
8.354065,11,13074.785747
6.386133,8,13084.881727
6.756062,8,13095.098417
12.353068,14,13112.685394
9.792282,11,13126.542452
4.074294,5,13132.91656
13.761141,15,13151.917975
18.398636,21,13178.514209
3.959047,5,13184.873295
5.505838,7,13193.674487
11.447373,13,13210.125754
10.20728,12,13225.450581
7.959012,9,13236.787683
17.170043,22,13264.645528
4.853261,6,13272.288907
6.15625,8,13282.439381
29.746434,30,13320.613332
20.839969,22,13348.322346
6.072147,7,13357.202218
17.408331,22,13385.09165
2.957371,4,13390.245893
4.955581,6,13397.952206
15.562397,18,13420.976243
2.959217,4,13426.068036
11.756725,13,13442.47493
6.40799,8,13452.695417
13.955324,15,13471.418328
3.214067,5,13477.776531
10.11968,12,13493.019535
3.786305,5,13499.383898
3.957201,5,13505.759705
7.007445,9,13517.35873
10.957171,12,13532.63184
4.084144,5,13538.99773
6.758309,8,13549.057796
12.356227,14,13566.822652
16.755455,19,13590.903427
4.761147,6,13598.607307
16.244671,21,13625.18227
8.559055,10,13637.766409
23.884437,28,13673.30726
7.191839,8,13683.614357
19.683632,24,13713.963585
9.76451,12,13729.113641
12.198258,14,13746.67564
13.601058,15,13765.655087
25.265745,30,13803.476217
3.955349,5,13809.941014
3.595473,5,13816.292128
4.118689,5,13822.717853
20.351482,22,13850.37533
3.397602,5,13856.749941
3.99756,6,13864.285802
15.491926,20,13889.723181
9.466331,11,13903.74982
4.959018,6,13911.389755
4.959018,6,13919.053097
10.15473,12,13934.32138
6.955048,8,13944.488126
13.566667,17,13965.80955
6.957167,8,13975.860223
12.011081,15,13994.826694
2.959217,4,13999.893782
14.970973,19,14023.941068
3.957201,5,14030.39151
7.723581,11,14044.261968
8.761801,11,14058.171783
21.589726,23,14087.144781
1.960209,3,14090.992817
22.557849,24,14121.33096
18.39739,20,14146.76949
8.556496,10,14159.497115
5.959013,7,14168.281575
10.75212,12,14183.486741
7.917581,9,14194.89368
4.210486,6,14202.571077
19.355422,22,14230.517909
23.871771,30,14268.387142
3.765991,5,14274.683753
21.155788,23,14303.733404
21.689586,27,14338.106697
28.952006,30,14375.99763
5.967618,8,14386.097294
4.952937,6,14393.712246
10.851522,12,14408.843368
10.558351,12,14423.996097
2.957377,4,14429.151488
9.753271,11,14443.118344
4.050159,5,14449.460453
12.961611,15,14468.459525
8.491985,11,14482.619777
13.181086,15,14501.641026
7.564006,9,14513.123169
21.322455,25,14544.707718
13.352321,15,14563.510078
4.761147,6,14571.166409
21.963793,26,14604.098315
27.600568,30,14641.678063
4.559254,6,14649.242624
4.760184,6,14656.933665
10.95138,12,14672.082673
8.354387,10,14684.930269
8.798072,10,14697.607329
9.557219,11,14711.483589
14.286265,17,14733.156804
12.755306,15,14752.04293
14.238671,17,14773.606378
12.157038,14,14791.372332
4.758338,6,14798.928936
15.260296,19,14822.889712
3.959047,5,14829.234288
15.646633,19,14853.183462
18.957162,20,14878.352628
5.998914,7,14887.174385
6.953194,8,14897.217312
3.957198,5,14903.694809
4.966835,7,14912.610072
4.765962,6,14920.395182
6.676734,8,14930.460333
2.794337,4,14935.60095
21.793869,25,14967.173475
6.40799,8,14977.303725
4.957168,6,14984.883837
8.197649,9,14996.309253
8.560307,11,15010.240199
3.955094,5,15016.596588
19.744987,21,15043.181986
