rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
9.40949012,0,13468,872,10321,0.3463366666666666,11.24,0.0005,9320,0.4683976471424103,,
9.16654278,0,13503,876,10348,0.34462666666666597,10.97,0.0005,9347,0.13498732447624207,,
9.10883479,0,13546,880,10382,0.3424733333333332,10.88,0.0005,9381,0.595451831817627,,
9.223292650000001,0,13622,884,10442,0.3386733333333337,11.02,0.0005,9441,0.5574867725372314,,
9.39150386,0,13711,888,10512,0.33424000000000076,11.2,0.0005,9511,0.7139133214950562,,
9.56378962,0,13800,892,10583,0.3297433333333343,11.38,0.0005,9582,0.6867495775222778,,
9.568785149999998,0,13847,896,10620,0.32740000000000036,11.36,0.0005,9619,0.8077454566955566,,
9.532525960000001,0,13901,900,10662,0.3247399999999997,11.35,0.0005,9661,1.2724518775939941,,
9.51108827,0,13941,904,10694,0.3227133333333325,11.32,0.0005,9693,0.8689976930618286,,
9.73884524,0,13997,908,10738,0.3199266666666666,11.59,0.0005,9737,0.722327470779419,,
9.768577079999998,0,14055,912,10784,0.31701333333333315,11.66,0.0005,9783,0.48655763268470764,,
10.12040271,0,14144,916,10854,0.3125800000000002,12.0,0.0005,9853,0.4612521529197693,,
10.03943932,0,14192,920,10892,0.3101733333333325,11.87,0.0005,9891,0.6869797706604004,,
10.334310069999999,0,14271,924,10955,0.3061833333333338,12.22,0.0005,9954,0.6011672019958496,,
10.59409395,0,14383,928,11043,0.30060999999999993,12.52,0.0005,10042,0.4016420841217041,,
10.405271339999999,0,14426,932,11077,0.29845666666666726,12.29,0.0005,10076,1.1156879663467407,,
10.4426807,0,14479,936,11119,0.2957966666666667,12.31,0.0005,10118,0.1296776533126831,,
10.605230920000002,0,14560,940,11183,0.29174333333333424,12.47,0.0005,10182,0.8174796104431152,,
10.735165910000001,0,14646,944,11251,0.2874366666666668,12.61,0.0005,10250,0.9795256853103638,,
10.791241989999998,0,14694,948,11289,0.285029999999999,12.65,0.0005,10288,0.3677464425563812,,
10.89980875,0,14770,952,11349,0.28122999999999954,12.8,0.0005,10348,0.5181774497032166,,
10.868047,0,14826,956,11393,0.2784433333333336,12.78,0.0005,10392,0.2657437026500702,,
10.94171007,0,14894,960,11447,0.2750233333333343,12.83,0.0005,10446,1.0011367797851562,,
10.517229359999996,0,14927,964,11473,0.2733766666666675,12.42,0.0005,10472,0.7033510208129883,,
10.467926199999999,0,14982,968,11516,0.2706533333333332,12.35,0.0005,10515,0.7062702178955078,,
10.521714009999998,0,15040,972,11562,0.26773999999999976,12.41,0.0005,10561,1.1579338312149048,,
10.62423007,0,15088,976,11600,0.2653333333333342,12.52,0.0005,10599,0.6969996690750122,,
10.673404519999998,0,15139,980,11640,0.26280000000000103,12.58,0.0005,10639,0.3834770619869232,,
10.49112502,0,15187,984,11678,0.2603933333333335,12.36,0.0005,10677,0.6135879158973694,,
10.372838060000001,0,15258,988,11734,0.2568466666666668,12.22,0.0005,10733,0.48129338026046753,,
9.99761802,0,15293,992,11762,0.2550733333333345,11.79,0.0005,10761,0.4289551377296448,,
9.932303250000002,0,15336,996,11795,0.25298333333333334,11.75,0.0005,10794,0.9364457130432129,,
9.8193056,0,15370,1000,11822,0.2512733333333328,11.6,0.0005,10821,0.5776523351669312,,
9.84186727,0,15418,1004,11860,0.24886666666666724,11.66,0.0005,10859,0.5833196640014648,,
9.72966666,0,15457,1008,11891,0.2469033333333337,11.53,0.0005,10890,0.5928548574447632,,
9.87312395,0,15532,1012,11950,0.24316666666666564,11.66,0.0005,10949,1.1447597742080688,,
9.46205301,0,15568,1016,11978,0.24139333333333346,11.24,0.0005,10977,0.49258819222450256,,
9.341834089999999,0,15602,1020,12005,0.2396833333333327,11.13,0.0005,11004,0.4601331353187561,,
9.291540990000001,0,15668,1024,12057,0.236390000000001,11.02,0.0005,11056,1.0102022886276245,,
9.07202453,0,15745,1028,12118,0.23252666666666766,10.75,0.0005,11117,0.7151585817337036,,
9.266372879999999,0,15815,1032,12173,0.2290433333333326,10.96,0.0005,11172,1.0555565357208252,,
9.24902871,0,15864,1036,12212,0.2265733333333333,10.93,0.0005,11211,0.9413355588912964,,
9.13522054,0,15926,1040,12261,0.22347000000000072,10.78,0.0005,11260,0.603801965713501,,
9.008035379999997,0,15990,1044,12311,0.2203033333333344,10.6,0.0005,11310,0.6055863499641418,,
9.13900523,0,16055,1048,12363,0.2170100000000007,10.74,0.0005,11362,0.7116273045539856,,
9.052282009999999,0,16119,1052,12413,0.21384333333333438,10.64,0.0005,11412,0.12909835577011108,,
9.21530538,0,16193,1056,12472,0.21010666666666633,10.79,0.0005,11471,0.7206758856773376,,
9.081050419999999,0,16243,1060,12511,0.20763666666666702,10.64,0.0005,11510,0.488720566034317,,
9.362527190000002,0,16310,1064,12564,0.20427999999999957,10.91,0.0005,11563,0.2940383851528168,,
9.378002480000001,0,16365,1068,12608,0.20149333333333364,10.92,0.0005,11607,1.076406717300415,,
9.524904479999998,0,16441,1072,12668,0.19769333333333405,11.06,0.0005,11667,0.5826645493507385,,
9.49525864,0,16485,1076,12703,0.19547666666666752,11.03,0.0005,11702,0.5045300722122192,,
9.60556384,0,16550,1080,12754,0.19224666666666745,11.14,0.0005,11753,0.3518366813659668,,
9.54192853,0,16588,1084,12784,0.19034666666666555,11.06,0.0005,11783,0.6481375694274902,,
9.30474835,0,16623,1088,12812,0.18857333333333337,10.78,0.0005,11811,0.6942264437675476,,
9.20117175,0,16645,1092,12829,0.18749666666666598,10.67,0.0005,11828,0.7818142175674438,,
9.302526530000002,0,16697,1096,12870,0.18489999999999907,10.75,0.0005,11869,0.36456215381622314,,
9.490458519999999,0,16755,1100,12916,0.18198666666666574,10.94,0.0005,11915,0.8117780685424805,,
9.48802007,0,16799,1104,12951,0.1797699999999992,10.91,0.0005,11950,0.6374810338020325,,
9.58983149,0,16850,1108,12991,0.17723666666666626,11.0,0.0005,11990,0.562870442867279,,
9.41458204,0,16896,1112,13028,0.17489333333333235,10.78,0.0005,12027,0.7754324674606323,,
9.48341909,0,16942,1116,13064,0.17261333333333417,10.86,0.0005,12063,0.5760069489479065,,
9.52805011,0,16981,1120,13095,0.17065000000000063,10.9,0.0005,12094,0.6641422510147095,,
9.380870660000001,0,17028,1124,13132,0.16830666666666672,10.75,0.0005,12131,0.8195912837982178,,
9.23229062,0,17087,1128,13179,0.16532999999999964,10.61,0.0005,12178,0.7175336480140686,,
8.985460080000001,0,17124,1132,13208,0.1634933333333335,10.35,0.0005,12207,0.3955335021018982,,
8.858607760000002,0,17157,1136,13234,0.1618466666666667,10.22,0.0005,12233,0.6859114170074463,,
8.84773646,0,17217,1140,13281,0.1588699999999994,10.2,0.0005,12280,0.2813417911529541,,
8.95123046,0,17295,1144,13343,0.15494333333333232,10.32,0.0005,12342,0.7363093495368958,,
8.946737859999999,0,17361,1148,13395,0.15165000000000062,10.32,0.0005,12394,1.024273157119751,,
8.877957310000003,0,17415,1152,13438,0.14892666666666632,10.25,0.0005,12437,0.8869580030441284,,
8.642286780000001,0,17458,1156,13472,0.14677333333333376,10.0,0.0005,12471,0.698272168636322,,
8.59678079,0,17501,1160,13506,0.14462000000000097,9.95,0.0005,12505,1.1852511167526245,,
8.6126075,0,17571,1164,13561,0.1411366666666659,9.97,0.0005,12560,0.8197665810585022,,
8.806304930000001,0,17649,1168,13623,0.13721000000000105,10.15,0.0005,12622,0.41384363174438477,,
8.59435553,0,17697,1172,13661,0.13480333333333328,9.93,0.0005,12660,0.860354483127594,,
8.901384229999998,0,17782,1176,13728,0.13055999999999968,10.25,0.0005,12727,0.6057521104812622,,
9.11692147,0,17876,1180,13803,0.1258100000000002,10.49,0.0005,12802,0.3607518970966339,,
9.319992219999998,0,17941,1184,13854,0.12258000000000002,10.7,0.0005,12853,0.36962997913360596,,
9.58710542,0,18013,1188,13911,0.11896999999999958,10.99,0.0005,12910,0.37972477078437805,,
9.970650939999999,0,18086,1192,13968,0.11535999999999924,11.39,0.0005,12967,0.3539777398109436,,
9.81669389,0,18117,1196,13993,0.11377666666666608,11.23,0.0005,12992,0.7601626515388489,,
9.846259159999999,0,18181,1200,14043,0.11060999999999976,11.27,0.0005,13042,0.6458235383033752,,
9.86333743,0,18225,1204,14078,0.10839333333333334,11.27,0.0005,13077,0.8070988655090332,,
